LSOA code,Aged 14 years and under,Aged 15 to 29 years,Aged 30 to 59 years,Aged 60 years and over
E01012224,15.7,12.3,36.8,35
E01012225,13.2,14.2,35.5,37.2
E01012226,12.6,13.5,32.3,41.6
E01012209,17.7,14.3,39.8,28.3
E01012217,16.9,17.6,45.3,20.2
E01012218,18.1,14.5,39.8,27.4
E01012223,14.7,11.9,38,35.2
E01012286,21.1,19.8,43.2,15.8
E01012287,13.4,25.8,42.5,18.4
E01012288,21.8,19.3,40.4,18.3
E01012289,17.1,17.9,39.1,26
E01012238,24.2,15.2,42.3,18.3
E01012239,26.6,19.5,41.9,11.9
E01012240,16.9,14.8,40.9,27.2
E01012241,13,15.1,35.7,36.2
E01012290,13.2,10.8,37.7,38.6
E01012291,22.7,16.9,37.9,22.6
E01012292,21.1,19.3,40.9,18.8
E01012282,19,18.7,34.6,27.8
E01012283,21.4,18.9,37.3,22.4
E01012284,17.7,15,31.4,35.8
E01012285,12.3,14.8,34.8,38.1
E01012199,13.7,11.1,32.9,42.3
E01012200,15.5,12.8,38.9,32.7
E01012201,17.9,14.3,39,28.9
E01012202,22.5,14.4,36.7,26.3
E01012203,20.5,16,43.5,20
E01012270,19,14.7,39.9,26.4
E01012228,16.5,18.3,41.7,23.9
E01012230,16.9,18.7,43.8,20.5
E01012233,19.8,12.2,40,28
E01012236,12.2,16.3,38.6,33
E01012237,14.6,15.2,36.8,33.4
E01012235,17.7,15.9,43.8,22.9
E01012298,14.3,9.7,35.6,40.6
E01012299,11.2,17.3,38.3,33.3
E01012300,16.7,13.1,36.3,34.1
E01012301,14.4,11.5,36.1,38
E01012302,15.6,11.2,35.4,37.9
E01012303,17.4,14.3,41.7,26.6
E01012267,20.2,16,40,23.8
E01035197,15.9,24.7,38.7,20.6
E01035198,20.8,24.3,47.1,7.9
E01035199,20.4,19.9,43.9,15.9
E01012262,30.5,20.1,38.9,10.5
E01035200,22.6,28.9,39.3,9.1
E01035201,18.6,22.5,44.1,14.9
E01035202,23.8,22.4,41.4,12.2
E01012227,18.3,19.2,44.9,17.5
E01033474,28.1,18.6,44.1,9
E01033479,24.2,16,45.1,14.7
E01035203,30.2,16.9,48.5,4.4
E01012231,19.4,20.1,48.5,11.9
E01012232,19.1,15.4,44.4,21
E01012234,15.7,15.9,44.2,24.1
E01033475,26.7,18,48.5,6.8
E01035204,26,16.3,48.4,9.2
E01012334,17.7,15.3,42.3,24.7
E01012335,15.7,12,37.5,34.9
E01012366,12.5,12.1,38.2,37.2
E01033481,21.9,16.5,45.6,16.1
E01033482,17.9,16,46.9,19.2
E01012323,16.5,16.3,42.8,24.6
E01012324,15.7,15.9,39.9,28.4
E01032545,23,19.1,42.3,15.7
E01032546,15.1,14.3,39.4,31
E01012328,14.9,17,39.2,29.1
E01012329,11.6,11.1,34.8,42.5
E01012330,13.6,13.5,40.2,32.7
E01012331,16.3,15.7,38.1,29.9
E01012349,17,19.9,41,22.3
E01012350,15,18.9,39.9,26.1
E01012351,17.1,15.5,41.1,26.3
E01012352,16.9,18.1,40.5,24.7
E01012325,12.1,12.7,38.6,36.7
E01012326,16.9,14,40.5,28.6
E01012332,18,14.1,35.2,32.8
E01012333,16.9,15.2,35.3,32.5
E01012309,15.9,15.7,44,24.3
E01012310,15.7,14.4,41.6,28.3
E01012311,17.6,18.1,40.5,23.8
E01012312,23.7,17.5,36.7,22.2
E01012313,17.8,17.8,40.3,24
E01012314,22.2,17.6,36.4,23.7
E01012307,20.3,20.4,38,21.2
E01012327,26,21.1,34.8,17.9
E01012342,21.9,17.9,38.7,21.3
E01035183,22.1,20.2,43.2,14.9
E01035184,14.1,13.4,37,35.3
E01012315,15.6,11,38.6,34.8
E01012360,14.4,11.9,35.8,37.9
E01035185,16.7,14.5,41.9,27
E01035186,11.9,18,38.1,32.1
E01012336,9.6,11.3,30.9,47.9
E01012337,15.7,12.5,35.9,35.6
E01012347,12.7,11.2,37.2,39
E01012348,15.3,10.4,35,39.4
E01012361,16.2,11,37.6,35.3
E01012304,12.5,20.6,43.9,22.9
E01012305,14.2,19.4,43.3,23
E01012306,14.5,14.9,36.6,34
E01012340,15.8,18.8,41.1,24.1
E01012341,22.5,18.3,33.6,25.7
E01012317,14.7,13.6,36.4,35.4
E01012318,22.5,19.4,40.8,17.3
E01012319,21.6,17.7,41.1,19.7
E01012356,14.5,20.8,44.4,20.3
E01012357,18.3,17,43.7,21.2
E01012358,18.1,15.4,39.9,26.7
E01012359,29.4,20.3,38.1,12.2
E01012338,17.1,13.6,37.1,32.2
E01012339,17.3,11.6,37.4,33.7
E01012344,18,15.6,39.6,26.8
E01012345,12.8,11,33,43.3
E01012346,19.2,16.4,44.7,19.7
E01012353,17.8,24.8,42.1,15.5
E01012354,20.8,21.6,43.1,14.5
E01012355,17.5,19.2,41.5,21.8
E01012362,15.6,22.4,44.1,17.9
E01012363,14.9,21.1,43.1,21
E01012364,12.7,18.6,44,24.6
E01012365,13.7,15,38.8,32.4
E01035187,10.8,25.4,42.5,21.3
E01020613,13.2,14.3,40,32.6
E01020614,13.2,13.9,33.8,39.3
E01020622,13.7,12.9,42.3,31
E01020623,12.7,17.7,41.3,28.4
E01020606,14.4,15.3,40.5,29.9
E01020615,19.2,17.3,38.1,25.3
E01020616,16.9,19.6,42.8,20.7
E01020617,15.9,15.6,44.3,24.3
E01020596,18.2,16,39.7,26.1
E01020597,13,13.2,35.6,38.3
E01020598,10.9,15,35.5,38.6
E01020611,14.8,16.7,39.7,28.9
E01020612,12.5,10.6,34.3,42.5
E01020592,24.9,21.7,37.6,16.1
E01020593,12,21.9,43.9,22.4
E01020599,17.8,18.3,38.7,25.4
E01020601,13.8,15.1,43.9,27.3
E01020602,15.3,14.8,34.5,35.2
E01020618,19.2,18.8,42,20
E01020594,13,17.2,42.2,27.7
E01020595,12.8,10.5,37.8,38.7
E01020600,13.7,11.7,33.6,41.1
E01020603,12.9,14,41.2,31.9
E01020605,12.4,12.5,43.4,31.7
E01020590,14,16.3,36.6,33.3
E01020591,16.5,13.8,36.3,33.4
E01020608,15.8,16.7,42.7,24.8
E01020609,15.3,14.6,34.7,35.1
E01020610,13.3,15.1,39.1,32.5
E01020604,14.5,13.6,39.6,32.1
E01020607,15.1,18.1,42,24.9
E01020619,15.6,15.8,39.7,29.1
E01020620,15.3,18.7,43,23
E01020621,18.7,17.3,40.4,23.6
E01020634,14.4,14.1,39.1,32.4
E01020635,14.5,11.6,41.8,32.2
E01020636,18.3,15.9,39,26.7
E01020654,15.9,15,40.7,28.6
E01020676,14.4,13.4,41.8,30.3
E01020627,15.4,13.8,40.9,29.8
