LSOA,Female,Male
E01002804,54.7,45.3
E01002767,54.7,45.3
E01002776,54.7,45.3
E01002709,54.7,45.3
E01002953,54.7,45.3
E01003496,54.7,45.3
E01003878,54.7,45.3
E01003904,54.7,45.3
E01003922,54.7,45.3
E01035661,54.7,45.3
E01004534,54.7,45.3
E01004492,54.7,45.3
E01004746,54.7,45.3
E01016631,54.7,45.3
E01017201,54.7,45.3
E01021167,54.7,45.3
E01024783,54.7,45.3
E01030837,54.7,45.3
E01031464,54.7,45.3
E01031458,54.7,45.3
E01015240,54.7,45.3
E01020561,54.7,45.3
E01032540,54.6,45.4
E01012061,54.6,45.4
E01008828,54.6,45.4
E01008214,54.6,45.4
E01012474,54.6,45.4
E01018378,54.6,45.4
E01005015,54.6,45.4
E01005266,54.6,45.4
E01005529,54.6,45.4
E01006199,54.6,45.4
E01006999,54.6,45.4
E01007123,54.6,45.4
E01007196,54.6,45.4
E01007141,54.6,45.4
E01013378,54.6,45.4
E01010659,54.6,45.4
E01010938,54.6,45.4
E01011332,54.6,45.4
E01013597,54.6,45.4
E01013691,54.6,45.4
E01013834,54.6,45.4
E01033527,54.6,45.4
E01010373,54.6,45.4
E01010489,54.6,45.4
E01015887,54.6,45.4
E01021510,54.6,45.4
E01000203,54.6,45.4
E01000205,54.6,45.4
E01000499,54.6,45.4
E01000579,54.6,45.4
E01035710,54.6,45.4
E01000943,54.6,45.4
E01001145,54.6,45.4
E01001192,54.6,45.4
E01001021,54.6,45.4
E01000990,54.6,45.4
E01001471,54.6,45.4
E01001732,54.6,45.4
E01002010,54.6,45.4
E01002034,54.6,45.4
E01002545,54.6,45.4
E01002673,54.6,45.4
E01002774,54.6,45.4
E01002712,54.6,45.4
E01002856,54.6,45.4
E01002874,54.6,45.4
E01002954,54.6,45.4
E01003016,54.6,45.4
E01003252,54.6,45.4
E01003213,54.6,45.4
E01003277,54.6,45.4
E01003333,54.6,45.4
E01034392,54.6,45.4
E01033867,54.6,45.4
E01004001,54.6,45.4
E01004126,54.6,45.4
E01035659,54.6,45.4
E01004595,54.6,45.4
E01004634,54.6,45.4
E01004533,54.6,45.4
E01033594,54.6,45.4
E01016993,54.6,45.4
E01016865,54.6,45.4
E01017021,54.6,45.4
E01021039,54.6,45.4
E01021086,54.6,45.4
E01021112,54.6,45.4
E01021143,54.6,45.4
E01023052,54.6,45.4
E01024220,54.6,45.4
E01024457,54.6,45.4
E01024525,54.6,45.4
E01028562,54.6,45.4
E01030938,54.6,45.4
E01035208,54.6,45.4
E01014587,54.6,45.4
E01012306,54.5,45.5
E01020855,54.5,45.5
E01027385,54.5,45.5
E01008451,54.5,45.5
E01008593,54.5,45.5
E01012402,54.5,45.5
E01018456,54.5,45.5
E01018667,54.5,45.5
E01005386,54.5,45.5
E01005755,54.5,45.5
E01005769,54.5,45.5
E01006020,54.5,45.5
E01006414,54.5,45.5
E01006677,54.5,45.5
E01033765,54.5,45.5
E01007313,54.5,45.5
E01007300,54.5,45.5
E01013208,54.5,45.5
E01027679,54.5,45.5
E01027834,54.5,45.5
E01007948,54.5,45.5
E01010680,54.5,45.5
E01035042,54.5,45.5
E01013496,54.5,45.5
E01013675,54.5,45.5
E01013817,54.5,45.5
E01026288,54.5,45.5
E01026395,54.5,45.5
E01028008,54.5,45.5
E01028209,54.5,45.5
E01028985,54.5,45.5
E01032157,54.5,45.5
E01009505,54.5,45.5
E01034942,54.5,45.5
E01009216,54.5,45.5
E01009930,54.5,45.5
E01010500,54.5,45.5
E01015938,54.5,45.5
E01021962,54.5,45.5
E01022055,54.5,45.5
E01026680,54.5,45.5
E01026676,54.5,45.5
E01026764,54.5,45.5
E01026814,54.5,45.5
E01030274,54.5,45.5
E01034569,54.5,45.5
E01030142,54.5,45.5
E01033049,54.5,45.5
E01000322,54.5,45.5
E01000200,54.5,45.5
E01000926,54.5,45.5
E01035708,54.5,45.5
E01001762,54.5,45.5
E01002740,54.5,45.5
E01002697,54.5,45.5
E01002726,54.5,45.5
E01003023,54.5,45.5
E01003082,54.5,45.5
E01003313,54.5,45.5
E01003464,54.5,45.5
E01003523,54.5,45.5
E01003725,54.5,45.5
E01003992,54.5,45.5
E01004007,54.5,45.5
E01004230,54.5,45.5
E01004541,54.5,45.5
E01004544,54.5,45.5
E01016598,54.5,45.5
E01016924,54.5,45.5
E01017319,54.5,45.5
E01017810,54.5,45.5
E01022860,54.5,45.5
E01024115,54.5,45.5
E01030339,54.5,45.5
E01031732,54.5,45.5
E01015188,54.5,45.5
E01015210,54.5,45.5
E01015360,54.5,45.5
E01020182,54.5,45.5
E01020184,54.5,45.5
E01022211,54.5,45.5
E01029083,54.5,45.5
E01033195,54.4,45.6
E01008447,54.4,45.6
E01008632,54.4,45.6
E01012422,54.4,45.6
E01018542,54.4,45.6
E01005210,54.4,45.6
E01005111,54.4,45.6
E01005459,54.4,45.6
E01006175,54.4,45.6
E01006344,54.4,45.6
E01006455,54.4,45.6
E01006418,54.4,45.6
E01006661,54.4,45.6
E01034396,54.4,45.6
E01013060,54.4,45.6
E01013341,54.4,45.6
E01027731,54.4,45.6
E01010695,54.4,45.6
E01011103,54.4,45.6
E01011354,54.4,45.6
E01011721,54.4,45.6
E01011622,54.4,45.6
E01011492,54.4,45.6
E01013541,54.4,45.6
E01034022,54.4,45.6
E01013818,54.4,45.6
E01013851,54.4,45.6
E01027293,54.4,45.6
E01019761,54.4,45.6
E01026297,54.4,45.6
E01014173,54.4,45.6
E01014272,54.4,45.6
E01029755,54.4,45.6
E01029807,54.4,45.6
E01031235,54.4,45.6
E01034914,54.4,45.6
E01009097,54.4,45.6
E01009622,54.4,45.6
E01017557,54.4,45.6
E01018078,54.4,45.6
E01021484,54.4,45.6
E01021987,54.4,45.6
E01023447,54.4,45.6
E01030287,54.4,45.6
E01000704,54.4,45.6
E01001155,54.4,45.6
E01034149,54.4,45.6
E01001425,54.4,45.6
E01001554,54.4,45.6
E01001821,54.4,45.6
E01001949,54.4,45.6
E01002094,54.4,45.6
E01002081,54.4,45.6
E01002475,54.4,45.6
E01002735,54.4,45.6
E01002734,54.4,45.6
E01002866,54.4,45.6
E01003329,54.4,45.6
E01003328,54.4,45.6
E01034395,54.4,45.6
E01003517,54.4,45.6
E01003808,54.4,45.6
E01004068,54.4,45.6
E01004327,54.4,45.6
E01004559,54.4,45.6
E01004649,54.4,45.6
E01004717,54.4,45.6
E01004744,54.4,45.6
E01016523,54.4,45.6
E01017312,54.4,45.6
E01033959,54.4,45.6
E01017894,54.4,45.6
E01020957,54.4,45.6
E01021119,54.4,45.6
E01021136,54.4,45.6
E01021108,54.4,45.6
E01022966,54.4,45.6
