LSOA code,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household,No cars or vans in household
E01027169,43.28621908,33.92226148,11.66077739,11.13074205
E01027170,43.62204724,23.93700787,5.826771654,26.61417323
E01027171,43.20652174,23.50543478,8.288043478,25
E01027172,43.11377246,29.04191617,13.77245509,14.07185629
E01027173,40.03241491,32.90113452,8.265802269,18.8006483
E01027174,32.82149712,43.378119,17.27447217,6.525911708
E01027175,43.49919743,29.37399679,10.11235955,17.01444623
E01027176,37.39565943,33.05509182,13.52253756,16.02671119
E01027177,44.79768786,24.27745665,5.202312139,25.72254335
E01027178,42.96675192,29.53964194,6.905370844,20.58823529
E01027179,40.19607843,32.96568627,10.41666667,16.42156863
E01027180,41.33333333,31.15151515,6.060606061,21.45454545
E01027181,44.20921544,31.38231631,8.343711083,16.06475716
E01027182,41.39072848,32.61589404,9.271523179,16.7218543
E01027183,41.3986014,32.16783217,13.56643357,12.86713287
E01027184,49.54407295,19.90881459,5.775075988,24.77203647
E01027185,40.28776978,26.43884892,5.575539568,27.69784173
E01027186,39.66817496,38.3107089,10.10558069,11.91553544
E01027187,41.32231405,22.47933884,8.595041322,27.60330579
E01027188,48.42931937,21.33507853,7.068062827,23.16753927
E01027189,48.60557769,22.4435591,6.241699867,22.70916335
E01027190,42.76568502,25.86427657,8.450704225,22.91933419
E01027191,44.37229437,22.83549784,6.70995671,26.08225108
E01027192,48.18024263,24.09012132,7.105719237,20.62391681
E01027193,39.3081761,36.94968553,13.36477987,10.37735849
E01027194,42.78846154,32.69230769,10.8974359,13.62179487
E01027195,46.95121951,18.44512195,5.640243902,28.96341463
E01027196,42.99065421,29.53271028,10.46728972,17.00934579
E01027197,44.64882943,28.26086957,5.518394649,21.57190635
E01027198,43.51351351,15.67567568,6.351351351,34.45945946
E01027199,46.2,20.6,3.6,29.6
E01027200,47.97979798,24.91582492,6.734006734,20.37037037
E01027201,41.81818182,35.93582888,12.72727273,9.518716578
E01027202,38.03863299,36.40416048,15.00742942,10.54977712
E01027203,30.51724138,44.13793103,20.51724138,4.827586207
E01027204,34.55657492,39.29663609,13.76146789,12.3853211
E01027205,28.51296044,47.74897681,21.28240109,2.455661664
E01027207,43.27868852,33.60655738,10.49180328,12.62295082
E01027208,35.8184765,39.38411669,15.39708266,9.400324149
E01027209,43.87568556,35.10054845,10.05484461,10.96892139
E01027210,36.16557734,35.07625272,12.8540305,15.90413943
E01027211,43.54587869,32.34836703,11.50855365,12.59720062
E01027212,41.29032258,36.77419355,13.70967742,8.225806452
E01027213,41.4084507,30.56338028,9.154929577,18.87323944
E01027214,45.10869565,24.72826087,5.298913043,24.86413043
E01027215,39.86928105,33.33333333,14.21568627,12.58169935
E01027216,43.75,33.55263158,7.456140351,15.24122807
E01027217,42.56120527,32.39171375,9.981167608,15.06591337
E01027218,43.07692308,29.23076923,12.02797203,15.66433566
E01027219,43.88753056,30.68459658,11.12469438,14.30317848
E01027220,44.18604651,27.07641196,10.79734219,17.94019934
E01027221,43.67245658,33.62282878,10.91811414,11.7866005
E01027222,35.24590164,42.82786885,13.93442623,7.991803279
E01027224,46.79284963,15.77287066,2.313354364,35.12092534
E01027225,45.01312336,12.4671916,3.543307087,38.97637795
E01027226,44.17628541,13.43126967,2.938090241,39.45435467
E01027227,46.95534506,15.29093369,2.841677943,34.9120433
E01027228,43.77431907,12.74319066,3.210116732,40.27237354
E01027229,46.78178964,19.1522763,5.337519623,28.72841444
E01027230,47.9015919,20.26049204,5.499276411,26.33863965
E01027231,41.44578313,17.46987952,4.819277108,36.26506024
E01027232,45.97156398,29.62085308,6.753554502,17.65402844
E01027233,44.48979592,28.16326531,6.12244898,21.2244898
E01027234,42.44186047,36.77325581,9.738372093,11.04651163
E01027235,44.51219512,19.3597561,7.012195122,29.11585366
E01027236,42,27.14285714,9.285714286,21.57142857
E01027237,52.26519337,25.08287293,6.629834254,16.02209945
E01027238,45.0674974,17.34164071,3.738317757,33.85254413
E01027239,42.33038348,20.05899705,7.669616519,29.94100295
E01027240,42.43614931,27.11198428,8.447937132,22.00392927
E01027241,43.77622378,19.02097902,4.335664336,32.86713287
E01027242,41.32901135,23.98703404,7.779578606,26.90437601
E01027243,42.14992928,22.91371994,6.789250354,28.14710042
E01027244,41.22807018,14.9122807,4.385964912,39.47368421
E01027245,44.01772526,29.68980798,11.96454948,14.32791728
E01027246,45.44235925,23.72654155,7.104557641,23.72654155
E01027247,42.92101341,32.04172876,12.51862891,12.51862891
E01027248,44.98269896,23.70242215,6.747404844,24.56747405
E01027249,46.92653673,20.53973013,5.397301349,27.13643178
E01027250,40.10067114,38.42281879,14.09395973,7.382550336
E01027252,41.78628389,32.2169059,8.771929825,17.22488038
E01027253,35.00678426,43.14789688,16.55359566,5.291723202
E01027254,34.25814234,42.09891435,18.45597105,5.186972256
E01027255,41.50641026,39.58333333,11.69871795,7.211538462
E01027256,34.76190476,38.0952381,15.23809524,11.9047619
E01027257,34.87903226,39.71774194,12.7016129,12.7016129
E01027258,33.46774194,40.32258065,22.17741935,4.032258065
E01027259,41.25412541,32.83828383,14.85148515,11.05610561
E01027260,33.59375,37.34375,18.4375,10.625
E01027261,30.76923077,37.98816568,26.03550296,5.207100592
E01027262,26.40218878,46.2380301,23.39261286,3.967168263
E01027263,40.69364162,35.72254335,13.6416185,9.942196532
E01027264,40.23323615,30.75801749,12.24489796,16.7638484
E01027265,41.35338346,36.84210526,11.27819549,10.52631579
E01027267,44.46529081,26.07879925,10.88180113,18.57410882
E01027268,41.54135338,37.78195489,14.28571429,6.390977444
E01027269,42.53926702,24.08376963,8.115183246,25.2617801
E01027270,25.12820513,48.88888889,22.73504274,3.247863248
E01027271,36.06299213,39.37007874,17.48031496,7.086614173
E01027272,35.06711409,39.93288591,20.30201342,4.697986577
E01027273,33.13032887,37.63702801,18.75761267,10.47503045
E01027274,29.57317073,47.15447154,18.49593496,4.776422764
E01027275,34.35582822,39.87730061,15.79754601,9.969325153
E01027277,32.85899094,39.58602846,22.89780078,4.657179819
E01027279,39.4984326,34.90073145,11.49425287,14.10658307
E01027280,31.36150235,45.07042254,18.68544601,4.882629108
E01027281,39.94374121,34.45850914,13.5021097,12.09563994
E01027282,37.17774763,36.77069199,16.28222524,9.769335142
E01027283,31.02453102,40.25974026,22.7994228,5.916305916
E01027284,30.85787452,41.48527529,22.91933419,4.737516005
E01027285,36.04806409,38.45126836,18.95861148,6.542056075
E01027286,41.1420205,33.52855051,16.54465593,8.78477306
E01027287,36.22795115,38.67028494,16.28222524,8.81953867
E01027288,42.05794206,34.16583417,12.68731269,11.08891109
E01027289,32.33766234,41.42857143,16.23376623,10
E01027290,32.65086207,43.53448276,18.42672414,5.387931034
E01027291,31.55680224,40.25245442,20.19635344,7.994389902
E01027292,35.30571992,31.5581854,14.99013807,18.14595661
E01027293,36.57657658,37.2972973,19.27927928,6.846846847
E01027294,34.04522613,44.84924623,15.57788945,5.527638191
E01027295,29.0990991,43.6036036,22.88288288,4.414414414
E01027296,31.54285714,40.45714286,21.02857143,6.971428571
E01027297,31.32372215,41.02228047,21.62516383,6.028833552
E01027298,30.79497908,52.13389121,12.46861925,4.60251046
E01027299,45.05494505,28.72841444,10.98901099,15.22762951
E01027300,31.9218241,44.62540717,18.24104235,5.211726384
E01027301,40.14084507,34.40643863,12.07243461,13.38028169
E01027302,39.58333333,26.94444444,9.027777778,24.44444444
E01027303,36.05263158,36.84210526,14.86842105,12.23684211
E01027304,27.7852349,41.20805369,25.36912752,5.637583893
E01027305,34.00503778,37.78337531,21.28463476,6.926952141
E01027306,29.51653944,41.85750636,23.66412214,4.961832061
E01027307,33.44017094,37.92735043,21.26068376,7.371794872
E01027308,37.07865169,37.21910112,18.11797753,7.584269663
E01027309,41.5007657,34.60949464,11.94486983,11.94486983
E01027310,44.89112228,16.41541039,4.18760469,34.50586265
E01027311,42.14559387,31.6091954,12.45210728,13.79310345
E01027312,42.96875,28.125,7.5,21.40625
E01027313,46.42857143,21.875,4.31547619,27.38095238
E01027314,48.54469854,14.76091476,4.46985447,32.22453222
E01027316,41.79431072,28.11816193,6.673960613,23.41356674
E01027317,43.37349398,25,7.981927711,23.64457831
E01027318,40.96989967,20.23411371,5.518394649,33.27759197
