LSOA code,Less than 5km,5km to less than 20km,20km to less than 40km,40km and over,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
E01019444,33.19755601,29.32790224,5.295315682,2.647657841,15.47861507,14.05295316
E01019445,27.61290323,28.38709677,5.290322581,2.709677419,15.87096774,20.12903226
E01019446,17.97153025,37.90035587,4.448398577,1.601423488,12.27758007,25.80071174
E01019447,14.88372093,29.6124031,5.426356589,2.790697674,13.79844961,33.48837209
E01019448,18.26923077,36.82692308,5.384615385,2.403846154,13.26923077,23.84615385
E01019449,15.59536354,34.77344573,4.741833509,2.002107482,13.48788198,29.39936776
E01019450,25.11078287,40.32496307,4.579025111,2.658788774,12.25997046,15.06646972
E01019451,19.12028725,36.44524237,2.603231598,1.885098743,18.04308797,21.90305206
E01019452,30.36809816,36.65644172,3.680981595,1.840490798,16.41104294,11.04294479
E01019453,28.88888889,35.02645503,2.962962963,2.116402116,14.4973545,16.50793651
E01019454,21.19565217,31.88405797,8.152173913,1.811594203,13.04347826,23.91304348
E01019455,26.34822804,28.0431433,6.163328197,2.157164869,14.32973806,22.95839753
E01019456,26.56084656,31.74603175,4.55026455,1.587301587,15.02645503,20.52910053
E01019457,27.35723772,34.66135458,4.913678619,2.523240372,13.94422311,16.6002656
E01019458,25.71711177,33.03659743,5.044510386,1.384767557,16.51829871,18.29871414
E01019459,27.62430939,32.78084715,3.314917127,2.394106814,13.25966851,20.62615101
E01019460,23.92947103,32.74559194,3.526448363,1.763224181,15.74307305,22.29219144
E01019461,24.59283388,29.96742671,4.234527687,1.140065147,15.4723127,24.59283388
E01019462,21.39830508,31.99152542,3.389830508,2.118644068,18.00847458,23.09322034
E01019463,34.44816054,32.10702341,4.515050167,1.337792642,15.38461538,12.20735786
E01019464,14.83180428,35.70336391,2.981651376,2.293577982,14.22018349,29.96941896
E01019465,16.6,41.4,2.8,2,14.4,22.8
E01019467,9.589041096,33.69863014,3.835616438,2.328767123,12.32876712,38.21917808
E01019468,28.08320951,27.19167905,7.578008915,1.337295691,17.38484398,18.42496285
E01019469,39.97233748,26.27939142,4.840940526,0.829875519,13.2780083,14.79944675
E01019470,33.33333333,26.20772947,7.608695652,1.690821256,12.92270531,18.23671498
E01019471,41.22257053,24.76489028,7.210031348,2.194357367,11.59874608,13.00940439
E01019473,24.38650307,21.3190184,7.975460123,3.374233129,13.80368098,29.14110429
E01019474,23.96006656,22.96173045,7.65391015,2.329450915,19.63394343,23.4608985
E01019475,25.15432099,25.61728395,5.709876543,2.777777778,15.89506173,24.84567901
E01019476,21.19565217,28.44202899,7.065217391,2.355072464,14.49275362,26.44927536
E01019477,11.78671656,31.71188026,8.980355472,1.683816651,14.4059869,31.43124415
E01019478,12.43718593,32.66331658,6.658291457,4.522613065,14.1959799,29.52261307
E01019479,12.7388535,31.08280255,7.261146497,4.968152866,11.97452229,31.97452229
E01019480,26.97986577,29.53020134,7.785234899,2.147651007,13.95973154,19.59731544
E01019481,30.01841621,29.83425414,8.839779006,2.578268877,14.18047882,14.54880295
E01019482,18.13110181,32.49651325,9.344490934,2.510460251,16.31799163,21.19944212
E01019483,16.18942731,42.40088106,6.387665198,2.643171806,17.18061674,15.19823789
E01019484,16.33237822,35.81661891,5.730659026,3.438395415,16.61891117,22.06303725
E01019485,18.48013817,37.30569948,7.772020725,2.245250432,15.19861831,18.99827288
E01019486,11.83431953,42.80078895,7.297830375,3.353057199,11.63708087,23.07692308
E01019487,16.4765526,42.33206591,11.15335868,2.915082383,12.67427123,14.4486692
E01019488,13.47753744,45.5906822,8.319467554,2.329450915,16.47254576,13.81031614
E01019489,8.610567515,42.27005871,10.17612524,2.739726027,14.28571429,21.91780822
E01019490,15.6899811,37.61814745,6.994328922,3.024574669,13.23251418,23.44045369
E01019491,17.34439834,35.93360996,6.721991701,4.149377593,15.3526971,20.49792531
E01019492,18.52315394,38.54818523,8.760951189,3.879849812,15.76971214,14.51814768
E01019493,16.45390071,35.31914894,8.368794326,2.553191489,16.31205674,20.9929078
E01019495,19.62209302,37.20930233,7.412790698,2.761627907,15.69767442,17.29651163
E01019496,14.0625,43.28125,10.78125,2.5,12.8125,16.5625
E01019497,13.61031519,34.95702006,11.1747851,4.154727794,17.19197708,18.91117479
E01019498,16.13663133,47.70318021,9.540636042,3.062426384,13.30977621,10.24734982
E01019499,34.61538462,22.43589744,10.09615385,2.724358974,14.58333333,15.54487179
E01019500,33.03703704,23.85185185,7.111111111,3.407407407,20.88888889,11.7037037
E01019501,30.42857143,20.71428571,10.57142857,4,16.71428571,17.57142857
E01019502,11,40.14285714,9.428571429,4,17.71428571,17.71428571
E01019503,17.63740771,34.29040197,9.35192781,2.625102543,18.86792453,17.22723544
E01019504,13.59060403,37.41610738,7.214765101,2.852348993,15.60402685,23.32214765
E01019505,20.37845706,39.01018923,9.024745269,3.202328967,15.13828239,13.24599709
E01019506,16.76136364,35.65340909,7.670454545,2.272727273,16.19318182,21.44886364
E01019507,41.19601329,31.33997785,5.758582503,1.771871539,12.07087486,7.862679956
E01019508,30.98591549,40.25821596,6.924882629,2.230046948,11.61971831,7.981220657
E01019509,29.72972973,37.64478764,8.88030888,3.088803089,11.96911197,8.687258687
E01019510,32.43761996,39.15547025,4.990403071,0.767754319,14.97120921,7.677543186
E01019511,39.14209115,29.93744415,4.647006256,2.412868633,14.5665773,9.294012511
E01019513,24.36194896,25.05800464,9.744779582,5.220417633,15.19721578,20.41763341
E01019514,32.23039216,28.30882353,9.681372549,3.553921569,11.2745098,14.95098039
E01019515,35.96256684,23.6631016,7.887700535,3.07486631,17.2459893,12.1657754
E01019516,33.03108808,23.1865285,8.29015544,1.813471503,16.19170984,17.48704663
E01019517,20.4496788,25.26766595,11.88436831,3.854389722,14.98929336,23.55460385
E01019518,19.1160221,22.98342541,11.27071823,2.651933702,13.48066298,30.49723757
E01019519,29.69283276,25.71103527,12.51422071,3.526734926,12.51422071,16.04095563
E01019520,9.943714822,35.64727955,10.03752345,2.908067542,15.19699812,26.26641651
E01019521,12.03904555,38.06941432,8.459869848,2.711496746,15.07592191,23.64425163
E01019522,17.44730679,36.65105386,9.016393443,2.576112412,16.39344262,17.91569087
E01019523,13.36302895,44.76614699,10.46770601,2.449888641,13.80846325,15.14476615
E01019524,7.946026987,38.08095952,8.845577211,3.298350825,17.09145427,24.73763118
E01019525,12.5884017,41.15983027,8.628005658,3.394625177,17.96322489,16.26591231
E01019526,34.75609756,24.69512195,4.573170732,3.048780488,17.22560976,15.70121951
E01019527,28.64768683,33.62989324,4.62633452,4.09252669,16.01423488,12.98932384
E01019528,24.56140351,25.14619883,4.678362573,2.777777778,17.39766082,25.43859649
E01019529,32.78236915,26.58402204,5.371900826,2.341597796,15.70247934,17.21763085
E01019530,37.26287263,20.46070461,5.284552846,2.845528455,15.44715447,18.69918699
E01019531,35.35980149,23.07692308,4.218362283,1.985111663,16.62531017,18.73449132
E01019532,39.21901528,19.69439728,5.432937182,2.20713073,17.14770798,16.29881154
E01019533,31.52317881,20.79470199,4.635761589,2.38410596,12.98013245,27.68211921
E01019534,31.53846154,19.80769231,3.846153846,2.5,15.96153846,26.34615385
E01019535,33.18518519,21.62962963,6.814814815,1.481481481,14.51851852,22.37037037
E01019536,39.09090909,21.81818182,3.863636364,2.5,13.52272727,19.20454545
E01019537,27.97992472,20.07528231,5.018820577,1.631116688,13.67628607,31.61856964
E01019538,31.19617225,20,3.827751196,2.009569378,13.49282297,29.47368421
E01019539,32.29901269,18.75881523,4.513399154,2.679830748,14.66854725,27.08039492
E01019540,31.74825175,21.67832168,5.874125874,1.958041958,13.42657343,25.31468531
E01019541,36.42172524,20.12779553,5.431309904,1.437699681,19.00958466,17.57188498
E01019542,37.04225352,22.81690141,4.929577465,1.267605634,16.1971831,17.74647887
E01019543,34.70319635,21.34703196,5.136986301,1.369863014,16.09589041,21.34703196
E01019544,37.62376238,21.78217822,4.620462046,3.135313531,16.00660066,16.83168317
E01019545,30.42016807,19.83193277,4.537815126,1.848739496,16.47058824,26.8907563
E01019546,32.08469055,24.42996743,4.885993485,1.791530945,12.05211726,24.75570033
E01019547,35.41315346,25.29510961,4.215851602,1.180438449,15.34569983,18.54974705
E01019548,27.06630336,20.79927339,5.722070845,2.179836512,16.1671208,28.0653951
E01019549,26.30662021,38.50174216,4.355400697,2.961672474,14.63414634,13.24041812
E01019550,35.02109705,27.14486639,4.781997187,2.109704641,16.03375527,14.90857947
E01019551,28.25342466,23.28767123,2.910958904,3.082191781,15.4109589,27.05479452
E01019552,31.06646059,23.64760433,4.482225657,3.400309119,16.69242658,20.71097372
E01019553,30.66169618,24.6971109,4.473438956,2.423112768,18.08014911,19.66449208
E01019554,39.02097902,19.3006993,3.776223776,1.538461538,14.82517483,21.53846154
E01019555,37.38019169,19.16932907,6.709265176,1.757188498,15.97444089,19.00958466
E01019556,37.35632184,20.68965517,4.885057471,2.442528736,13.93678161,20.68965517
E01019557,27.27272727,20.32085561,5.213903743,2.272727273,12.29946524,32.62032086
E01019558,27.28731942,21.50882825,5.296950241,2.407704655,11.23595506,32.26324238
E01019559,22.69076305,19.67871486,5.421686747,1.606425703,13.65461847,36.94779116
E01019560,35.33568905,20.14134276,5.123674912,1.413427562,16.25441696,21.73144876
E01019561,38.68778281,24.43438914,2.941176471,2.262443439,19.45701357,12.21719457
E01019562,35.84521385,20.97759674,5.091649695,1.83299389,15.47861507,20.77393075
E01019563,21.95121951,44.04591105,5.738880918,3.87374462,15.06456241,9.325681492
E01019564,16.772554,37.99237611,5.209656925,3.049555273,12.7064803,24.26937738
E01019565,28.70662461,34.54258675,4.574132492,1.577287066,17.03470032,13.56466877
E01019566,31.0391363,30.09446694,4.453441296,2.429149798,16.05937922,15.92442645
E01019567,34.59459459,31.35135135,5,1.621621622,11.62162162,15.81081081
E01019568,30.47285464,35.0262697,4.72854641,3.50262697,13.48511384,12.78458844
E01019569,36.90176322,23.80352645,4.534005038,1.259445844,13.97984887,19.52141058
E01019570,37.64258555,18.63117871,4.182509506,3.6121673,14.4486692,21.48288973
E01019571,40.14925373,21.19402985,5.52238806,3.28358209,15.07462687,14.7761194
E01019572,42.69449715,23.33965844,4.933586338,1.897533207,15.5597723,11.57495256
E01019573,27.09497207,21.22905028,5.446927374,3.072625698,18.01675978,25.1396648
